Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic46	9.0   	0     	89    	100.0%
topic47	10.0  	0     	108   	100.0%
topic48	10.0  	1     	79    	100.0%
topic49	10.0  	1     	89    	100.0%
topic5 	18.0  	1     	112   	100.0%
topic6 	19.0  	1     	150   	100.0%
topic7 	13.0  	1     	167   	100.0%
topic8 	13.0  	1     	185   	100.0%
topic9 	13.0  	1     	177   	100.0%
Total Avg delay: 13.22 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	15.0  	1     	204   	100.0%
topic1 	15.0  	1     	193   	100.0%
topic10	40.0  	1     	275   	100.0%
topic11	38.0  	1     	244   	100.0%
topic12	17.0  	1     	225   	100.0%
topic13	20.0  	1     	204   	100.0%
topic14	23.0  	1     	195   	100.0%
topic15	25.0  	1     	153   	100.0%
topic16	27.0  	1     	168   	100.0%
topic17	32.0  	1     	318   	100.0%
topic18	36.0  	1     	315   	100.0%
topic19	32.0  	1     	254   	100.0%
topic2 	13.0  	1     	151   	100.0%
topic20	27.0  	1     	324   	100.0%
topic21	26.0  	1     	190   	100.0%
topic22	26.0  	0     	324   	100.0%
topic23	29.0  	1     	296   	100.0%
topic24	31.0  	1     	347   	100.0%
topic25	21.0  	1     	275   	100.0%
topic26	21.0  	1     	291   	100.0%
topic27	22.0  	1     	293   	100.0%
topic28	21.0  	1     	307   	100.0%
topic29	21.0  	1     	313   	100.0%
topic3 	14.0  	1     	124   	100.0%
topic30	27.0  	1     	201   	100.0%
topic31	27.0  	1     	202   	100.0%
topic32	9.0   	1     	151   	100.0%
topic33	15.0  	1     	252   	100.0%
topic34	19.0  	0     	251   	100.0%
topic35	19.0  	1     	228   	100.0%
topic36	24.0  	1     	255   	100.0%
topic37	24.0  	1     	272   	100.0%
topic38	23.0  	1     	268   	100.0%
topic39	22.0  	1     	234   	100.0%
topic4 	13.0  	1     	133   	100.0%
topic40	24.0  	1     	318   	100.0%
topic41	25.0  	1     	369   	100.0%
topic42	15.0  	1     	266   	100.0%
topic43	21.0  	1     	306   	100.0%
topic44	21.0  	1     	256   	100.0%
topic45	18.0  	1     	253   	100.0%
topic46	18.0  	1     	215   	100.0%
topic47	16.0  	1     	262   	100.0%
topic48	15.0  	1     	276   	100.0%
topic49	20.0  	1     	174   	100.0%
topic5 	14.0  	1     	142   	100.0%
topic6 	12.0  	1     	102   	100.0%
topic7 	11.0  	1     	98    	100.0%
topic8 	12.0  	1     	115   	100.0%
topic9 	10.0  	1     	111   	100.0%
Total Avg delay: 21.32 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	32.0  	1     	274   	100.0%
topic1 	26.0  	1     	139   	100.0%
topic10	40.0  	1     	256   	100.0%
topic11	44.0  	1     	321   	100.0%
topic12	35.0  	1     	232   	100.0%
topic13	22.0  	1     	242   	100.0%
topic14	27.0  	1     	203   	100.0%
topic15	25.0  	1     	217   	100.0%
topic16	25.0  	1     	253   	100.0%
topic17	28.0  	1     	253   	100.0%
topic18	29.0  	1     	247   	100.0%
topic19	32.0  	1     	272   	100.0%
topic2 	26.0  	0     	145   	100.0%
topic20	22.0  	1     	203   	100.0%
topic21	25.0  	1     	169   	100.0%
topic22	24.0  	1     	167   	100.0%
topic23	26.0  	1     	157   	100.0%
topic24	20.0  	1     	246   	100.0%
topic25	22.0  	1     	242   	100.0%
topic26	23.0  	1     	131   	100.0%
topic27	23.0  	1     	247   	100.0%
topic28	19.0  	1     	133   	100.0%
topic29	20.0  	1     	169   	100.0%
topic3 	25.0  	1     	141   	100.0%
topic30	26.0  	1     	354   	100.0%
topic31	32.0  	1     	386   	100.0%
topic32	30.0  	1     	383   	100.0%
topic33	30.0  	1     	384   	100.0%
topic34	30.0  	1     	403   	100.0%
topic35	28.0  	1     	412   	100.0%
topic36	29.0  	1     	302   	100.0%
topic37	27.0  	1     	301   	100.0%
topic38	26.0  	1     	313   	100.0%
topic39	26.0  	0     	421   	100.0%
topic4 	28.0  	1     	306   	100.0%
topic40	55.0  	1     	498   	100.0%
topic41	62.0  	1     	513   	100.0%
topic42	50.0  	1     	378   	100.0%
topic43	42.0  	1     	369   	100.0%
topic44	39.0  	1     	294   	100.0%
topic45	44.0  	1     	538   	100.0%
topic46	38.0  	1     	499   	100.0%
topic47	42.0  	1     	478   	100.0%
topic48	33.0  	1     	481   	100.0%
topic49	43.0  	1     	483   	100.0%
topic5 	18.0  	1     	215   	100.0%
topic6 	18.0  	1     	214   	100.0%
topic7 	19.0  	1     	211   	100.0%
topic8 	22.0  	1     	216   	100.0%
topic9 	25.0  	1     	192   	100.0%
Total Avg delay: 30.04 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	2.0   	1     	23    	100.0%
